hours_forecast,datetime,country,city,temp,temp_feels_like,weather,weather_description,pop,wind_speed_m_s,clouds_percentage,pressure_level,humidity_percentage
5,2024-03-29 21:00:00,IT,Cagliari,17.46,16.91,Clear,clear sky,0,4.06,0,1008,63
6,2024-03-29 22:00:00,IT,Cagliari,16.8,16.23,Clear,clear sky,0,5.29,0,1008,65
7,2024-03-29 23:00:00,IT,Cagliari,15.73,15.11,Clouds,few clouds,0,5.26,12,1008,67
8,2024-03-30 00:00:00,IT,Cagliari,15.44,14.87,Clouds,few clouds,0,5.85,17,1008,70
9,2024-03-30 01:00:00,IT,Cagliari,15.12,14.57,Clouds,few clouds,0,5.76,14,1007,72
10,2024-03-30 02:00:00,IT,Cagliari,15.08,14.55,Clouds,few clouds,0,5.71,11,1007,73
11,2024-03-30 03:00:00,IT,Cagliari,15.1,14.57,Clear,clear sky,0,6.1,0,1006,73
12,2024-03-30 04:00:00,IT,Cagliari,15.05,14.52,Clear,clear sky,0,5.92,0,1005,73
13,2024-03-30 05:00:00,IT,Cagliari,14.97,14.38,Clear,clear sky,0,6.36,0,1004,71
14,2024-03-30 06:00:00,IT,Cagliari,14.92,14.4,Clear,clear sky,0,7.28,0,1003,74
15,2024-03-30 07:00:00,IT,Cagliari,14.78,14.35,Clear,clear sky,0,7.39,0,1004,78
16,2024-03-30 08:00:00,IT,Cagliari,15.01,14.68,Clear,clear sky,0,6.38,0,1004,81
17,2024-03-30 09:00:00,IT,Cagliari,16.06,15.76,Clouds,scattered clouds,0,6.11,36,1004,78
18,2024-03-30 10:00:00,IT,Cagliari,16.61,16.34,Clouds,scattered clouds,0,4.93,38,1003,77
19,2024-03-30 11:00:00,IT,Cagliari,17.28,17.02,Clouds,scattered clouds,0,3.64,29,1004,75
20,2024-03-30 12:00:00,IT,Cagliari,18.02,17.73,Clouds,few clouds,0,2.94,23,1004,71
21,2024-03-30 13:00:00,IT,Cagliari,18.75,18.43,Clouds,scattered clouds,0,2.54,33,1003,67
22,2024-03-30 14:00:00,IT,Cagliari,19.04,18.67,Clouds,scattered clouds,0,2.12,44,1003,64
23,2024-03-30 15:00:00,IT,Cagliari,19.42,18.98,Clouds,overcast clouds,0,2.68,100,1003,60
24,2024-03-30 16:00:00,IT,Cagliari,19.54,19.06,Clouds,overcast clouds,0,4.39,100,1004,58
25,2024-03-30 17:00:00,IT,Cagliari,18.93,18.47,Clouds,overcast clouds,0,5.59,100,1004,61
26,2024-03-30 18:00:00,IT,Cagliari,17.61,17.12,Clouds,overcast clouds,0,5.87,100,1005,65
27,2024-03-30 19:00:00,IT,Cagliari,16.2,15.68,Clouds,overcast clouds,0,5.08,100,1005,69
28,2024-03-30 20:00:00,IT,Cagliari,14.17,13.65,Clouds,overcast clouds,0,4.73,98,1006,77
29,2024-03-30 21:00:00,IT,Cagliari,13.34,12.77,Clouds,overcast clouds,0,4.01,99,1007,78
30,2024-03-30 22:00:00,IT,Cagliari,12.84,12.14,Clouds,overcast clouds,0,3.3,99,1007,75
31,2024-03-30 23:00:00,IT,Cagliari,12.14,11.34,Clouds,broken clouds,0,2.66,70,1008,74
32,2024-03-31 00:00:00,IT,Cagliari,12.1,11.19,Clouds,broken clouds,0,1.86,64,1007,70
33,2024-03-31 01:00:00,IT,Cagliari,12.17,11.19,Clouds,broken clouds,0,1.07,70,1007,67
34,2024-03-31 02:00:00,IT,Cagliari,13.32,12.3,Clouds,broken clouds,0,1.54,75,1007,61
35,2024-03-31 04:00:00,IT,Cagliari,13.93,13.05,Clouds,overcast clouds,0,2.64,99,1007,64
36,2024-03-31 05:00:00,IT,Cagliari,13.72,12.87,Clouds,overcast clouds,0,3.07,99,1007,66
37,2024-03-31 06:00:00,IT,Cagliari,13.71,12.91,Clouds,overcast clouds,0,3.38,99,1007,68
38,2024-03-31 07:00:00,IT,Cagliari,13.64,12.91,Clouds,overcast clouds,0,3.23,100,1007,71
39,2024-03-31 08:00:00,IT,Cagliari,13.35,12.73,Clouds,overcast clouds,0,2.63,99,1008,76
40,2024-03-31 09:00:00,IT,Cagliari,14.01,13.45,Clouds,overcast clouds,0,2.38,100,1008,76
41,2024-03-31 10:00:00,IT,Cagliari,15.36,14.73,Clouds,overcast clouds,0,1.6,99,1009,68
42,2024-03-31 11:00:00,IT,Cagliari,16.41,15.75,Clouds,overcast clouds,0,1.22,100,1009,63
43,2024-03-31 12:00:00,IT,Cagliari,17.46,16.78,Clouds,overcast clouds,0,1.29,100,1009,58
44,2024-03-31 13:00:00,IT,Cagliari,18.03,17.35,Clouds,overcast clouds,0,1.85,100,1009,56
45,2024-03-31 14:00:00,IT,Cagliari,18.22,17.59,Clouds,overcast clouds,0,2.74,100,1009,57
46,2024-03-31 15:00:00,IT,Cagliari,17.97,17.36,Clouds,overcast clouds,0,3.77,100,1009,59
47,2024-03-31 16:00:00,IT,Cagliari,18.03,17.4,Clouds,overcast clouds,0,4.09,100,1009,58
48,2024-03-31 17:00:00,IT,Cagliari,18.52,17.86,Clouds,overcast clouds,0,4.21,98,1008,55
